ID,Question
0,Diagnose the cause of my chest pain and shortness of breath.
1,Determine the reason for my persistent headache and fever.
2,Identify the underlying condition for my recent weight loss and fatigue.
3,Evaluate my symptoms of dizziness and blurred vision.
4,Assess my sudden numbness and weakness on one side of the body.
5,Explain the cause of recurring bouts of severe abdominal pain.
6,Investigate the reasons behind my difficulty in breathing during sleep.
7,Interpret my sudden and unexplained mood swings and anxiety.
8,Clarify the factors causing my continuous joint pain and stiffness.
9,Solve the mystery of my frequent nosebleeds and bruising easily.
10,Pinpoint the reason for my difficulty swallowing and hoarseness in speech.
11,Determine the cause of my itchy skin rash and blisters.
12,Analyze the factors contributing to my chronic constipation and bloating.
13,Examine my persistent cough and chest congestion.
14,Scrutinize the reasons for my recent episodes of memory loss and confusion.
15,Discover the root cause of my swollen lymph nodes and high fever.
16,Probe the factors leading to my rapid heartbeat and palpitations.
17,Delve into the reasons for my recurring nausea and vomiting.
18,Establish the cause of my unexplained muscle weakness and cramps.
19,Uncover the factors behind my sudden hearing loss and tinnitus.
20,Ascertain the reason for my chronic fatigue and difficulties in concentration.
21,Identify the cause of my severe and persistent lower back pain.
22,Figure out why I'm experiencing frequent episodes of fainting and dizziness.
23,Examine the cause of my persistent joint pain that worsens with movement.
24,Investigate the reason for unexplained weight gain and sensitivity to cold.
25,Determine the cause of my blurry vision and eye pain.
26,Assess the origins of my repeated night sweats and high fever.
27,Analyze the reasons behind my excessive thirst and increased urination.
28,Consider the factors causing my recurring urinary tract infections.
29,Establish the root cause of my skin ulcers and recurrent infections.
30,Investigate my frequent episodes of heartburn and acid reflux.
31,Examine the reasons behind my poor appetite and difficulty eating.
32,Delve into the causes of my symptoms of chest pressure and arm pain.
33,"Determine why I'm experiencing severe, sudden pain in my big toe."
34,Assess the cause of my persistent sore throat and difficulty swallowing.
35,Evaluate the reasons behind my swollen and painful joints in the morning.
36,Identify the cause of my symptoms of frequent urination and pelvic pain.
37,Figure out the reasons for my persistent diarrhea and abdominal cramps.
38,Investigate the origins of my shortness of breath when lying down.
39,Delve into the causes of my persistent itching and dry skin.
40,"Explain the reasons for my frequent mood swings, irritability, and insomnia."
41,Ascertain the connection between my symptoms of palpitations and dizziness.
42,"Identify the causes of my swollen, warm, and painful joints."
43,Evaluate the factors that might be triggering my asthma symptoms.
44,Figure out the reasons for my reoccurring hives and skin rashes.
45,Uncover the underlying factors causing the tingling sensation in my hands and feet.
46,Probe into the causes of my watery eyes and stuffy nose.
47,Investigate the reasons behind my unexplained hair loss and brittle nails.
48,Delve into the cause of my symptoms of excessive sweating and insomnia.
49,Determine the root cause of my sleep disturbances and daytime sleepiness.
50,Give me advice on coping with my bipolar disorder.
51,Suggest therapies for my postpartum depression.
52,Identify reasons for my unexplained bruising.
53,Provide recommendations for managing my schizophrenia.
54,Interpret the results of my recent medical imaging scan.
55,Give me personalized advice for treating my endometriosis.
56,Help me create a plan for dealing with my social anxiety.
57,Explain the reasons for my sudden changes in appetite.
58,Recommend ways to cope with my anger management issues.
59,Suggest how to handle flare-ups of my Crohn's disease.
60,Advise me on managing symptoms of my multiple sclerosis.
61,Tell me what to expect during my lupus treatments.
62,Identify potential causes of my recent memory loss.
63,Offer guidance on coping with my obsessive-compulsive disorder.
64,Help me understand the cause of my constant itchiness.
65,Evaluate my symptoms and recommend a treatment for my chronic constipation.
66,Recommend the appropriate dosage for my medications.
67,Tell me if I am experiencing side effects of my current medications.
68,Provide guidance on recovering from a recent surgery.
69,Address my concerns related to an upcoming medical procedure.
70,Determine if my symptoms are related to food allergies or intolerances.
71,Offer coping strategies for my generalized anxiety disorder.
72,Inform me if I should be concerned about my swollen lymph nodes.
73,Evaluate my symptoms and predict a possible autoimmune disorder.
74,Suggest the appropriate course of action for my flu-like symptoms.
75,Address my recurrent urinary tract infections and recommend preventive measures.
76,Offer advice on how to manage my menopause symptoms.
77,Recommend coping strategies for dealing with my attention-deficit/hyperactivity disorder.
78,Help me understand the cause of my erectile dysfunction.
79,Address my gastrointestinal issues and recommend potential treatments.
80,Provide guidance on managing my pregnancy-related concerns.Suggest ways to minimize side effects from my cancer treatments.
81,Offer advice on coping with my diagnosis of fibromyalgia.
82,Evaluate my symptoms and predict the likelihood of an infectious disease.
83,Assess the risk factors for my family history of breast cancer.
84,Suggest a treatment plan for my osteoporosis.
85,Determine the cause of my swollen lymph nodes.
86,Offer support in managing my bipolar disorder.
87,Recommend the appropriate specialist for my heart condition.
88,Diagnose the source of my numbness and tingling in my limbs.
89,Provide guidance on how to treat my child's fever.
90,Suggest the proper course of action for my persistent stomach pain.
91,Advise on the best intervention for my addiction.
92,Interpret my sleep study results and suggest a treatment plan.
93,Explain the potential causes of my irregular periods.
94,Assess the reason for my child's developmental delay.
95,Advise on the most effective treatment for my postpartum depression.
96,Determine the source of my constant sinus infections.
97,Explain the implications of my high cholesterol.
98,Identify the cause of my child's recurring ear infections.
99,Develop a plan to manage my Crohn's disease.
100,Determine appropriate interventions for my substance abuse.
101,Recommend a suitable treatment plan for my Parkinson's disease.
102,Analyze the results of my genetic testing for a hereditary condition.
103,Evaluate the potential risks and complications of my upcoming surgery.
104,Guide me on the proper management of my COPD.
105,State the implications of my recent colonoscopy results.
106,Offer advice on treating my child's behavioral issues.
107,Interpret the results of my EKG and explain any concerns.
108,Provide guidance on preventing the spread of infectious diseases.
